,osmid_start,x_start,y_start,osmid_end,x_end,y_end,Time
6527,66466113,-71.093519,42.409641,66453420,-71.12203,42.411153,17:30
6528,66435752,-71.122522,42.410456,66452585,-71.093543,42.4362554,8:30
6529,66435752,-71.122522,42.410456,66452585,-71.093543,42.4362554,15:30
6530,66435752,-71.122522,42.410456,66452585,-71.093543,42.4362554,17:30
6531,66446726,-71.0873683,42.436313,66474562,-71.0750709,42.4047116,8:30
6532,66446726,-71.0873683,42.436313,66474562,-71.0750709,42.4047116,15:30
6533,66446726,-71.0873683,42.436313,66474562,-71.0750709,42.4047116,17:30
6534,66462139,-71.118875,42.411885,66439072,-71.0874203,42.4109224,8:30
6535,66462139,-71.118875,42.411885,66439072,-71.0874203,42.4109224,15:30
6536,66462139,-71.118875,42.411885,66439072,-71.0874203,42.4109224,17:30
6537,66445763,-71.121871,42.41055,66436307,-71.0843462,42.4096623,8:30
6538,66445763,-71.121871,42.41055,66436307,-71.0843462,42.4096623,15:30
6539,66445763,-71.121871,42.41055,66436307,-71.0843462,42.4096623,17:30
6540,66432078,-71.124367,42.410029,66482308,-71.080428,42.408055,8:30
6541,66432078,-71.124367,42.410029,66482308,-71.080428,42.408055,15:30
6542,66432078,-71.124367,42.410029,66482308,-71.080428,42.408055,17:30
6543,1729919695,-71.0851766,42.4098976,66459547,-71.121782,42.411549,8:30
6544,1729919695,-71.0851766,42.4098976,66459547,-71.121782,42.411549,15:30
6545,1729919695,-71.0851766,42.4098976,66459547,-71.121782,42.411549,17:30
6546,66439166,-71.0892398,42.4386643,66456499,-71.079167,42.411559,8:30
6547,66439166,-71.0892398,42.4386643,66456499,-71.079167,42.411559,15:30
6548,66439166,-71.0892398,42.4386643,66456499,-71.079167,42.411559,17:30
6549,66443549,-71.122337,42.410717,66474542,-71.0935822,42.4113888,8:30
6550,66443549,-71.122337,42.410717,66474542,-71.0935822,42.4113888,15:30
6551,66443549,-71.122337,42.410717,66474542,-71.0935822,42.4113888,17:30
6552,66459547,-71.121782,42.411549,66448047,-71.090225,42.435976,8:30
6553,66459547,-71.121782,42.411549,66448047,-71.090225,42.435976,15:30
6554,66459547,-71.121782,42.411549,66448047,-71.090225,42.435976,17:30
6555,66454905,-71.0942491,42.427937,1095874191,-71.0945186,42.4063247,8:30
6556,66454905,-71.0942491,42.427937,1095874191,-71.0945186,42.4063247,15:30
6557,66454905,-71.0942491,42.427937,1095874191,-71.0945186,42.4063247,17:30
6558,66481222,-71.0824618,42.4025125,66437751,-71.0925273,42.4282904,8:30
6559,66481222,-71.0824618,42.4025125,66437751,-71.0925273,42.4282904,15:30
6560,66481222,-71.0824618,42.4025125,66437751,-71.0925273,42.4282904,17:30
6561,66452635,-71.081707,42.404687,66481631,-71.0882496,42.4317424,8:30
6562,66452635,-71.081707,42.404687,66481631,-71.0882496,42.4317424,15:30
6563,66452635,-71.081707,42.404687,66481631,-71.0882496,42.4317424,17:30
6564,66465362,-71.0874971,42.4355449,66437578,-71.118759,42.410699,8:30
6565,66465362,-71.0874971,42.4355449,66437578,-71.118759,42.410699,15:30
6566,66465362,-71.0874971,42.4355449,66437578,-71.118759,42.410699,17:30
6567,66454735,-71.0936909,42.4426064,66474482,-71.124367,42.411962,8:30
6568,66454735,-71.0936909,42.4426064,66474482,-71.124367,42.411962,15:30
6569,66454735,-71.0936909,42.4426064,66474482,-71.124367,42.411962,17:30
6570,66443423,-71.08054,42.4077535,66480286,-71.0887472,42.4391684,8:30
6571,66443423,-71.08054,42.4077535,66480286,-71.0887472,42.4391684,15:30
6572,66443423,-71.08054,42.4077535,66480286,-71.0887472,42.4391684,17:30
6573,66446726,-71.0873683,42.436313,66445131,-71.0908802,42.4110449,8:30
6574,66446726,-71.0873683,42.436313,66445131,-71.0908802,42.4110449,15:30
6575,66446726,-71.0873683,42.436313,66445131,-71.0908802,42.4110449,17:30
6576,66463878,-71.0897011,42.4390312,66430632,-71.1197266,42.4102581,8:30
6577,66463878,-71.0897011,42.4390312,66430632,-71.1197266,42.4102581,15:30
6578,66463878,-71.0897011,42.4390312,66430632,-71.1197266,42.4102581,17:30
6579,66466388,-71.0886302,42.4083175,66452245,-71.123088,42.409608,8:30
6580,66466388,-71.0886302,42.4083175,66452245,-71.123088,42.409608,15:30
6581,66466388,-71.0886302,42.4083175,66452245,-71.123088,42.409608,17:30
6582,66453420,-71.12203,42.411153,66436486,-71.0951838,42.4271736,8:30
6583,66453420,-71.12203,42.411153,66436486,-71.0951838,42.4271736,15:30
6584,66453420,-71.12203,42.411153,66436486,-71.0951838,42.4271736,17:30
6585,66442203,-71.0897191,42.4326826,66457713,-71.119392,42.411164,8:30
6586,66442203,-71.0897191,42.4326826,66457713,-71.119392,42.411164,15:30
6587,66442203,-71.0897191,42.4326826,66457713,-71.119392,42.411164,17:30
6588,66461265,-71.0921266,42.4282578,66422250,-71.092749,42.4052032,8:30
6589,66461265,-71.0921266,42.4282578,66422250,-71.092749,42.4052032,15:30
6590,66461265,-71.0921266,42.4282578,66422250,-71.092749,42.4052032,17:30
6591,66458642,-71.0895289,42.4388894,66478982,-71.084974,42.411069,8:30
6592,66458642,-71.0895289,42.4388894,66478982,-71.084974,42.411069,15:30
6593,66458642,-71.0895289,42.4388894,66478982,-71.084974,42.411069,17:30
6594,66447050,-71.089764,42.432499,66423297,-71.0824246,42.405582,8:30
6595,66447050,-71.089764,42.432499,66423297,-71.0824246,42.405582,15:30
6596,66447050,-71.089764,42.432499,66423297,-71.0824246,42.405582,17:30
6597,66479203,-71.0828693,42.407687,1538929707,-71.0906688,42.4325993,8:30
6598,66479203,-71.0828693,42.407687,1538929707,-71.0906688,42.4325993,15:30
6599,66479203,-71.0828693,42.407687,1538929707,-71.0906688,42.4325993,17:30
6600,66477869,-71.0946584,42.4062944,66487243,-71.08818,42.437828,8:30
6601,66477869,-71.0946584,42.4062944,66487243,-71.08818,42.437828,15:30
6602,66477869,-71.0946584,42.4062944,66487243,-71.08818,42.437828,17:30
6603,66435752,-71.122522,42.410456,66484394,-71.0801443,42.4008309,8:30
6604,66435752,-71.122522,42.410456,66484394,-71.0801443,42.4008309,15:30
6605,66435752,-71.122522,42.410456,66484394,-71.0801443,42.4008309,17:30
6606,66468665,-71.092357,42.441233,66445763,-71.121871,42.41055,8:30
6607,66468665,-71.092357,42.441233,66445763,-71.121871,42.41055,15:30
