,osmid_start,x_start,y_start,start_zone,osmid_end,x_end,y_end,end_zone,Time
1121,66454970,-71.0936357,42.4387475,1,66448272,-71.0815652,42.405145,2,17:30
1122,66452671,-71.126283,42.410583,0,66469583,-71.0889423,42.4039865,2,8:30
1123,66452671,-71.126283,42.410583,0,66469583,-71.0889423,42.4039865,2,15:30
1124,66452671,-71.126283,42.410583,0,66469583,-71.0889423,42.4039865,2,17:30
1125,66455142,-71.0821778,42.4092255,2,66421287,-71.123696,42.411082,0,8:30
1126,66455142,-71.0821778,42.4092255,2,66421287,-71.123696,42.411082,0,15:30
1127,66455142,-71.0821778,42.4092255,2,66421287,-71.123696,42.411082,0,17:30
1128,66435752,-71.122522,42.410456,0,66427280,-71.0767393,42.4041002,2,8:30
1129,66435752,-71.122522,42.410456,0,66427280,-71.0767393,42.4041002,2,15:30
1130,66435752,-71.122522,42.410456,0,66427280,-71.0767393,42.4041002,2,17:30
1131,66457713,-71.119392,42.411164,0,942206372,-71.0766381,42.4074595,2,8:30
1132,66457713,-71.119392,42.411164,0,942206372,-71.0766381,42.4074595,2,15:30
1133,66457713,-71.119392,42.411164,0,942206372,-71.0766381,42.4074595,2,17:30
1134,66446304,-71.094349,42.439911,1,66425640,-71.080642,42.406521,2,8:30
1135,66446304,-71.094349,42.439911,1,66425640,-71.080642,42.406521,2,15:30
1136,66446304,-71.094349,42.439911,1,66425640,-71.080642,42.406521,2,17:30
1137,66479203,-71.0828693,42.407687,2,66458871,-71.0902949,42.4384277,1,8:30
1138,66479203,-71.0828693,42.407687,2,66458871,-71.0902949,42.4384277,1,15:30
1139,66479203,-71.0828693,42.407687,2,66458871,-71.0902949,42.4384277,1,17:30
